renewable   adj.可续期的
renewal   n.更新，续订
rent   n.租金 v.租
rental   adj.租借的，租金的
repair   v.修理，纠正
repairmen   n.修理，修补，纠正
repay   v.偿付，报答
repeal   v.,n.撤消，废除
repeat   v.重复，背诵
repeatedly   adj.重复地，一再地
repel   v.驱逐，推开
repent   v.后悔，悔悟
repetition   n.重复，反复，复制
repetitive   adj.重复的，反复的
replace   v.归还原处，代替
replacement   n.归回，代替(物)
replenish   v.补充
replenishment   n.补充(货物)
reply   v.,n.回答，答复
report   v.报告，报导，报道
reportage   n.报告文学
reporter   n.报告人，记者
represent   v.表示，表现，代表
representation   n.表示，代表
representative   adj.代表
reproach   v.,n.责备，指责
reproduce   v.复制，再造，繁殖
reproduction   n.复制(器)
reptile   n.爬行动物
republic   n.共和国
republican   n.,adj.共和(派)的
repudiate   n.拒绝接收，拒付
reputable   adj.声誉好的
reputation   n.名声，声誉
repute   n.声誉 v.看作，评价
request   n.请求
require   v.需要，请求
requirement   n.要求，需要
requisite   adj.必要的，需要的
rescind   adj.退还，取消
rescue   v.,n.救援，救出
research   v.,n.调查，研究
researcher   n.调查者，研究人员
resemblance   n.相仿，类似
resemble   v.象，类似
resent   v.不满于，愤恨
resentful   adj.不满的，怨恨的
resentment   n.不满，愤恨
reservation   n.贮存物，预定
reserve   v.贮备，保存，预定
reservoir   n.水库
reside   v.居住，存在
residence   n.住宅，住处
resident   n.居民
residual   adj.剩余的
resign   v.辞职
resignation   n.辞职
resist   v.抵抗，忍住
resistance   n.抵抗，阻力，反感
resistant   n.抵抗的，反对的
resolute   adj.坚决的，果断的
resolution   n.决议，决定，决心
resolutely   adj.坚决地，果断地
resolve   v.决定，解决，分解
resort   v.诉诸，求助 n.胜地
resource   n.资源，机智，策略
respect   v.尊重，重视，尊敬
respectable   adj.可敬的
respectful   adj.恭敬的，尊重的
respectfully   adv.恭敬地
respective   adj.各自的，各个的
respectively   adv.各自，分别地
respond   v.答复，反应，响应
response   v.答复，反应，响应
responsibility   n.责任，职责
responsible   adj.负责的，尽责的
rest   v.休息 n.休息，休止
restaurant   n.饭馆，餐厅
restless   adj.没休息的，不安的
restock   v.重新进货
restore   v.恢复，复原，归还
restrain   v.抑制，制止
restraint   n.抑制，自制
restrict   v.限制，约束
restriction   n.限制，约束
restrictive   n.限制的
result   n.结果，效果，后果
resultant   adj.结果的，合成的
resume   v.继续，再度n.个人简历，摘要
retail   v.,n.零售
retailer   n.零售商
retain   v.保留，记忆，雇
retell   v.复述
retire   v.退休，退隐，就寝
retirement   n.退休，隐居
retort   v.反驳，回嘴
retreat   v.,n.退却，撤退
retroactive   adj.可追溯的
return   v.回归，归还 n.归来
reveal   v.揭露，透露，显示
revenge   n.,v.报仇，报复
revenue   n.岁入，收入
reverence   n.尊敬，崇敬
reverse   adj.颠倒的，相反的
revert   v.回复到，重议
review   v.,n.检查，复习
revise   v.修改，校订，复习
revision   n.修改，修订
revival   n.复苏，再生
revive   v.苏醒，复苏
revoke   v.废除，取消，撤回
revolt   n.,v.起义，反抗
revolution   n.革命，变革
