humanism   n.人道主义
humanitarian   n.慈善家
humanity   n.人类，人性
humble   adj.谦卑的，卑贱的
humid   adj.湿的，潮湿的
humidity   n.湿度，湿气
humiliate   v.使受辱
humiliation   n.羞辱，耻辱
humor   n.幽默(感)，心情
humorous   adj.幽默的，诙谐的
hundred   num.一百
hundredth   num.第一面，百分之一
hunger   n.饥饿，渴望
hungry   adj.饥饿的，渴望的
hunt   v.打猎，搜索，寻找
hunter   n.猎人，搜索者
hurl   v.猛掷，猛投
hurrah   int.好哇 n.喝彩声
hurry   v.赶紧，急忙，急运
hurt   v.使受伤，使痛，伤害
husband   n.丈夫
hush   int.嘘 n.沉默
hustle   v.奔忙
hut   n.小屋
hydraulic   adj.水力的，液压的
hydroelectric   adj.水电的
hydrogen   n.氢，氢气
hygiene   n.卫生
hymn   n.赞美诗，赞歌
hypocrisy   n.伪善
hypothesis   n.假设，前提
hypothetical   adj.假设的
hysteria   n.歇斯底里，癔病
hysteric   adj.亢奋的
