b.c. (缩)公元前
breakdown n.故障，衰竭
breakfast n.早饭
breakthrough n.突破
breast n.乳房，胸脯
breath n.呼吸，气息
breathe v.呼吸
breed n.品种
breeze n.微风
bribe v.贿赂
bribery v.贿赂
brick n.砖
bride n.新娘
bridegroom n.新郎
bridge n.桥梁，桥牌
bridle v.抑制
brief adj.简短的
briefing n.简要情况
briefly adv.简单地，简短地
bright adj.明亮的，鲜明的
brighten v.使发光
brightness n.光辉，明亮
brilliance n.辉煌，光彩
brilliant v.辉煌的，杰出的
brim n.边，边缘
bring v.拿来，带来
brink n.边缘
brisk adj.敏捷的，活跃的
bristle n.鬃毛
britain n.不列颠，英国
british adj.英国的，英属的
brittle adj.易碎的，脆的
broad adj.宽的，辽阔的
broadcast v.,n.广播
broadcasting n.广播节目
broaden v.加宽，扩大
brochure n.产品介绍手册
broken adj.破碎的，毁坏了的
broker n.经纪人
bronze n.青铜
brood n.一窝
brook n.小河，溪流
broom n.扫帚
brother n.兄弟，同胞
brother-in-law n.姻兄(弟)
brotherhood n.兄弟情谊
brow n.眉毛，额
brown n.,adj.褐色(的)
bruise v.打伤
brush v.刷
brutal adj.野蛮的
brute n.禽兽，畜生
bubble n.气泡
bucket n.水桶
bud n.芽，蓓蕾
buddhism n.佛教
buddhist n.佛教徒
budget n.预算
buffalo n.水牛，野牛
buffet n.冷餐
bug n.臭虫，虫子
bugle n.喇叭
build v.建造，建设
builder n.建筑工人，建设者
building n.建筑物，大楼
bulb n.球形物，灯泡
bulk n.体积，大半
bulky adj.庞大的，笨重的
bull n.公牛
bullet n.子弹
bulletin n.公报
bullion n.金块，金条
bullish adj.行情看涨的
bump n.碰撞
bumpy adj.颠簸不平的
bunch n.一束
bundle n.,v.捆，包
burden n.担子，负担
burdensome adj.沉重的
bureau n.局，司，办公室
bureaucracy n.官僚主义
bureaucratic adj.官僚主义的
burglar n.夜盗，窃贼
burglary n.盗窃
burial n.埋葬
burn v.烧，燃烧，烧伤
burner n.喷灯
burnt adj.烧焦的，烧坏的
burst v.,n.爆炸，破裂
bury v.掩埋，安葬
bus n.公共汽车
bush n.灌木
bushel n.蒲式耳(重量单位)
business n.行业，买卖，商号
businesslike adj.事务式的
busy adj.忙碌的，热闹的
but prep.但是，除了
butcher v.屠宰
butchery n.肉食店
butt v.顶撞
butter n.黄油
butterfly n.蝴蝶
button n.钮扣，按钮
buy v.买，购买
buyer n.购买者
buzz n.嗡嗡声
by prep.在...旁边，按照
by-product 
bygone n.已往的，过时的
bypass n.旁道，分路
