yacht   n.游船，快艇
yard   n.码，庭院，场
yawn   v.,n.打呵欠
year   n.年，年度
yearly   adj.,adv.每年的
yearn   v.向往
yeast   n.酵母
yell   v.,n.叫嚷
yellow   n.,adj.黄色(的)
yes   adv.是，好
yesterday   n.昨天 adv.在昨天
yet   adv.仍然，还，尚
yield   v.生产，屈服 n.产量
yoke   n.轭
yolk   n.蛋黄
you   pron.你，你们
young   adj.年轻的 n.青年人
youngster   n.少年
your   pron.你的，你们的
yourself   pron.你(们)自己
youth   n.青春，青年
youthful   adj.年轻的
