a.d. (缩)公元
amends n.赔偿
america n.美国，美洲
american n.美国人
amiable adj.和蔼的，亲切的
amicable adj.友好的，和睦的
amid prep.在...之间
ammunition n.弹药
among prep.在...之中
amount v.合计
ampere n.【电】安培
ample adj.宽大的，充裕的
amplification n.放大
amplifier n.放大器，扩音机
amplify v.详述，放大
amuse v.逗乐，给娱乐
amusement n.娱乐，乐趣
analogue n.模拟，类似物
analogy n.类似，类推
analysis n.分析，分解
analytical adj.分析的，解析的
analyze v.分析，分解
ancestor n.祖先，祖宗
anchor v.停泊
ancient adj.古老的，古代的
and conj.和，与，而
anecdote n.轶事，轶闻
angel n.天命，安琪儿
anger n.生气，愤怒
angle n.角，角度
angry adj.生气的，愤怒的
angular adj.角状的
animal n.动物
animate v.使有活力，激活
animation n.生气，生机
ankle n.踝，踝骨
annex n.附录，附件
anniversary n.周年纪念日
announce v.宣布，通报
announcement n.通知
announcer n.播音员
annoy v.烦扰，使生气
annoyance n.烦恼，麻烦事
annual adj.每年的，年度的
annually adv.每年，年年
another pron.,prep.另一个
answer v.答复
ant n.蚂蚁
antagonism n.对立，敌对
antagonist n.对手，敌手
antarctic adj.南极的
antecedent n.触角，天线
antibiotic adj.抗菌的
anticipate v.期望，预料
anticipation n.期望，预料
antique n.古玩
antonym n.反义词
antonymous adj.反义的
anxiety n.焦虑，担心
anxious adj.焦急的，切盼的
anxiously adv.焦急地，急切地
any adj.任何，一些
anybody pron.任何人
anyhow adv.无论如何
anyone pron.无论谁
anything pron.无论什么
anyway adv.不管怎样
anywhere adv.无论何地
apart adv.分离，隔开
apartment n.套房，公寓
ape n.猿猴
apologize v.道歉
apology n.道歉
apparatus n.仪器，设备
apparent adj.明显的，表面上的
apparently adj.显然，似乎
appeal v.,n.呼吁，上诉
appealing adj.有吸引力的
appear v.出现，好象
appearance n.出现，外表
appendix n.附录，盲肠
appetite n.食欲，欲望
applaud v.称赞，拍手喝彩
applause n.喝彩，欢呼
apple n.苹果
appliance n.用具，器械
applicable adj.生动的，适用的
applicant n.申请人
application n.申请，应用
apply v.应用，申请
appoint v.任命，约定
appointment n.任命，约会
appreciable adj.可看到的
appreciably adv.相当大地
appreciate v.欣赏，感激
appreciation n.欣赏，感激
appreciative adj.感激的
apprentice n.学校
